nconst,primaryName,Email,birthYear,deathYear,primaryProfession,knownForTitles,age
nm5955996,Jonathan Girard,Jonathan.Girard782@hotmail.com,1991,\N,costume_department,"tt1411250,tt5109784,tt0837563,tt1877832",29
nm5964016,Jodie B. Hall,Jodie.B.562@hotmail.com,1994,\N,art_department,"tt1930546,tt0858419",26
nm3093031,Roberto Pensa,Roberto.Pensa383@gmail.com,1998,\N,actor,"tt4295322,tt10001116,tt5447200,tt8819168",20
nm4132509,Louis Gagiano,Louis.Gagiano684@hotmail.com,1980,\N,"camera_department,producer,miscellaneous","tt10001870,tt13179488,tt1598609,tt2247109",40
nm6330281,Elrich Yssel,Elrich.Yssel953@gmail.com,1993,\N,"director,editor,cinematographer","tt6471072,tt13179488,tt3530990,tt10001870",60
nm7476471,Nuhan Yssel,Nuhan.Yssel671@gmail.com,1975,\N,"visual_effects,special_effects,animation_department","tt10001870,tt6471072,tt3146264,tt13179488",45
nm7509232,Dinesh Pallath,Dinesh.Pallath790@hotmail.com,1987,\N,writer,"tt7702336,tt10002654,tt12139560,tt8485642",33
nm7509233,Sanand George,Sanand.George654@hotmail.com,1975,\N,composer,"tt5784452,tt10002654,tt4930624,tt11422924",45
nm10539222,Peter Janecek,Peter.Janecek143@gmail.com,1963,\N,,tt10003782,57
nm10539228,Dinesh Lingden,Dinesh.Lingden454@hotmail.com,1989,\N,"director,writer",tt10003792,31
nm10539229,Kabita Rai Lingden,Kabita.Rai987@gmail.com,1985,\N,producer,tt10003792,35
nm10539230,Hasta Libang,Hasta.Libang616@hotmail.com,1998,\N,producer,tt10003792,22
nm10539231,Megh Bahadur Magar,Megh.Bahadur153@gmail.com,1980,\N,producer,tt10003792,34
nm10539242,Bishesh Panta,Bishesh.Panta605@gmail.com,1993,\N,writer,tt10003806,27
nm10539243,Ganesh Sherestha,Ganesh.Sherestha430@hotmail.com,1985,\N,producer,tt10003806,35
nm10539244,Karna Bahadur Tamang,Karna.Bahadur321@gmail.com,1987,\N,producer,tt10003806,33
nm10539245,Kumar Silwal,Kumar.Silwal842@hotmail.com,1991,\N,producer,tt10003806,29
nm9069675,Surendra K.C.,Surendra.K.C.711@gmail.com,1994,\N,actor,"tt8289002,tt10003806,tt7024770",26
nm10682687,Debora Zhecheva,Debora.Zhecheva710@hotmail.com,1998,\N,"actress,miscellaneous","tt10003990,tt10905684,tt10570206,tt9635862",22
nm10262218,Isaac Van Loewe,Isaac.Van546@hotmail.com,1980,\N,director,tt9372478,40
nm10300083,Elena Sever,Elena.Sever512@hotmail.com,1993,\N,"actress,producer","tt10935058,tt9376118,tt11542668,tt10924538",27
nm10301385,Rocky Sovechles,Rocky.Sovechles196@hotmail.com,1975,\N,"cinematographer,camera_department,director","tt9378246,tt9376612,tt10370042,tt10311750",45
nm1748106,Ian Stokell,Ian.Stokell277@gmail.com,1999,\N,"producer,writer,director","tt8447682,tt9377100,tt1016150,tt7039264",21
nm7561052,Frank Smith,Frank.Smith148@hotmail.com,1975,\N,"producer,miscellaneous,executive","tt0453494,tt1870529,tt9377392,tt0310357",45
nm8767147,Jeevan Gowda,Jeevan.Gowda105@gmail.com,1991,\N,cinematographer,"tt9378070,tt8431072,tt9420240,tt6513084",29
nm10301253,Divija,Divija470@gmail.com,1994,\N,actor,tt9378070,26
nm10412207,Riccardo Mimmi,Riccardo.Mimmi670@hotmail.com,1998,\N,miscellaneous,"tt7315484,tt1657507,tt4547194,tt5057140",50
nm10625107,Ormangoren Gurkan,Ormangoren.Gurkan336@hotmail.com,1980,\N,,"tt7315484,tt10342730,tt9252156,tt4687108",40
nm10837038,Narendra Joshi,Narendra.Joshi674@hotmail.com,1993,\N,,"tt10634374,tt10375110,tt9390026",27
nm11212596,Zaynu Jacobs,Zaynu.Jacobs536@hotmail.com,1975,\N,miscellaneous,"tt9887580,tt9844522,tt7832848",45
nm11280816,Steve Mapel,Steve.Mapel608@hotmail.com,1987,\N,actor,tt11390036,33
nm11280817,A.A. Loyd,A.A..Loyd855@gmail.com,1975,\N,actress,tt11390036,45
nm11280818,Erica D. Brown,Erica.D.854@hotmail.com,1963,\N,actress,tt11390036,57
nm11280819,Isaac Britt,Isaac.Britt802@hotmail.com,1989,\N,actor,tt11390036,31
nm11280820,Laquinté Brinson,Laquinté.Brinson109@gmail.com,1985,\N,actress,tt11390036,35
nm11280821,Leslie Kirkland,Leslie.Kirkland211@gmail.com,1998,\N,actress,tt11390036,74
nm11280822,Shirley Jean Rouse,Shirley.Jean855@gmail.com,1980,\N,actress,tt11390036,40
nm11280823,Zebulon Ellis,Zebulon.Ellis642@hotmail.com,1993,\N,actor,tt11390036,27
nm11280824,Darius Scott,Darius.Scott871@gmail.com,1985,\N,actor,tt11390036,35
nm11280825,Cerod Butler,Cerod.Butler318@hotmail.com,1987,\N,actor,tt11390036,33
nm3918957,Choudary Hanuman,Choudary.Hanuman108@hotmail.com,1991,\N,"writer,assistant_director","tt10506490,tt1621994",36
nm9249218,Vishnu Oi,Vishnu.Oi666@hotmail.com,1994,\N,actor,"tt8047208,tt9789440,tt10506490,tt7329576",26
nm10904484,Bovey Wong,Bovey.Wong950@hotmail.com,1998,\N,,"tt7618430,tt10507478,tt9148104,tt10218782",33
nm10904485,Yuki Yip,Yuki.Yip246@hotmail.com,1980,\N,,"tt7527262,tt10507478,tt7618430,tt10218782",40
nm11502667,Jimena Bilsup,Jimena.Bilsup157@gmail.com,1993,\N,actress,"tt9893062,tt9281190,tt5663590,tt10507902",27
nm3786389,Annie Deniel,Annie.Deniel664@hotmail.com,1975,\N,"editor,director,writer","tt4685400,tt3699352,tt10874148,tt10507938",45
nm6191772,Simon D'Amours,Simon.D'Amours964@hotmail.com,1987,\N,"miscellaneous,writer,producer","tt10588412,tt3593456,tt4552306,tt10508122",33
nm6308050,Ghanem Zrelli,Ghanem.Zrelli444@hotmail.com,1975,\N,"casting_department,actor","tt6776572,tt1701210,tt5139992,tt10508182",45
nm6353455,Xavier Limiñana,Xavier.Limiñana388@hotmail.com,1963,\N,"writer,producer","tt10508276,tt3592380,tt4476804",57
nm9921602,Rorhàre,Rorhàre858@gmail.com,1989,\N,music_department,\N,31
nm9921603,Rhonda Lee Horne,Rhonda.Lee537@gmail.com,1985,\N,miscellaneous,tt0131601,35
nm9921604,Jorge Quintero,Jorge.Quintero578@hotmail.com,1998,\N,camera_department,"tt10468790,tt7890950,tt8588922,tt9735662",22
nm9921605,Henri Rousso,Henri.Rousso310@hotmail.com,1980,\N,production_designer,tt12235006,40
nm9921606,Rémy Besson,Rémy.Besson420@hotmail.com,1993,\N,,\N,27
nm9921607,Dennis Golden,Dennis.Golden879@gmail.com,1985,\N,"producer,writer","tt12020092,tt12064968,tt8589638",35
nm9921608,Alex Muench,Alex.Muench532@hotmail.com,1987,\N,"cinematographer,editor","tt12081950,tt12020092,tt8589638,tt11863314",33
